Thu Nov 28 07:33:43 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 565.57.01              Driver Version: 565.57.01      CUDA Version: 12.7     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:58:00.0 Off |                    0 |
| N/A   40C    P0             29W /  250W |       1MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
Tesla V100-PCIE-32GB
Epoch: 1	Train loss: 2.692e-01	Val loss: 5.303e-02
Epoch: 2	Train loss: 3.569e-02	Val loss: 1.858e-02
Epoch: 3	Train loss: 2.043e-02	Val loss: 1.615e-02
Epoch: 4	Train loss: 1.463e-02	Val loss: 9.228e-03
Epoch: 5	Train loss: 1.265e-02	Val loss: 1.183e-02
Epoch: 6	Train loss: 1.180e-02	Val loss: 8.008e-03
Epoch: 7	Train loss: 9.987e-03	Val loss: 8.736e-03
Epoch: 8	Train loss: 9.806e-03	Val loss: 7.636e-03
Epoch: 9	Train loss: 8.396e-03	Val loss: 1.361e-02
Epoch: 10	Train loss: 7.395e-03	Val loss: 6.671e-03
Epoch: 11	Train loss: 7.118e-03	Val loss: 4.559e-03
Epoch: 12	Train loss: 7.005e-03	Val loss: 7.824e-03
Epoch: 13	Train loss: 5.928e-03	Val loss: 6.736e-03
Epoch: 14	Train loss: 6.287e-03	Val loss: 5.638e-03
Epoch: 15	Train loss: 5.292e-03	Val loss: 6.697e-03
Epoch: 16	Train loss: 5.445e-03	Val loss: 4.229e-03
Epoch: 17	Train loss: 5.055e-03	Val loss: 7.472e-03
Epoch: 18	Train loss: 4.618e-03	Val loss: 4.889e-03
Epoch: 19	Train loss: 4.233e-03	Val loss: 3.026e-03
Epoch: 20	Train loss: 3.987e-03	Val loss: 7.896e-03
Epoch: 21	Train loss: 4.407e-03	Val loss: 4.240e-03
Epoch: 22	Train loss: 4.021e-03	Val loss: 2.613e-03
Epoch: 23	Train loss: 3.820e-03	Val loss: 3.544e-03
Epoch: 24	Train loss: 3.547e-03	Val loss: 2.469e-03
Epoch: 25	Train loss: 3.703e-03	Val loss: 2.820e-03
Epoch: 26	Train loss: 3.437e-03	Val loss: 1.236e-02
Epoch: 27	Train loss: 3.281e-03	Val loss: 2.592e-03
Epoch: 28	Train loss: 3.128e-03	Val loss: 2.996e-03
Epoch: 29	Train loss: 3.249e-03	Val loss: 2.201e-03
Epoch: 30	Train loss: 2.841e-03	Val loss: 2.370e-03
Epoch: 31	Train loss: 3.154e-03	Val loss: 2.485e-03
Epoch: 32	Train loss: 2.739e-03	Val loss: 2.568e-03
Epoch: 33	Train loss: 2.875e-03	Val loss: 4.433e-03
Epoch: 34	Train loss: 2.659e-03	Val loss: 3.408e-03
Epoch: 35	Train loss: 2.580e-03	Val loss: 6.942e-03
Epoch: 36	Train loss: 2.537e-03	Val loss: 2.998e-03
Epoch: 37	Train loss: 2.850e-03	Val loss: 2.434e-03
Epoch: 38	Train loss: 2.388e-03	Val loss: 2.421e-03
Epoch: 39	Train loss: 2.518e-03	Val loss: 2.402e-03
Epoch: 40	Train loss: 2.317e-03	Val loss: 2.593e-03
Epoch: 41	Train loss: 2.340e-03	Val loss: 2.549e-03
Epoch: 42	Train loss: 2.422e-03	Val loss: 2.055e-03
Epoch: 43	Train loss: 2.375e-03	Val loss: 5.221e-03
Epoch: 44	Train loss: 2.235e-03	Val loss: 2.340e-03
Epoch: 45	Train loss: 2.249e-03	Val loss: 2.187e-03
Epoch: 46	Train loss: 1.975e-03	Val loss: 1.982e-03
Epoch: 47	Train loss: 2.282e-03	Val loss: 1.526e-03
Epoch: 48	Train loss: 2.049e-03	Val loss: 2.758e-03
Epoch: 49	Train loss: 2.076e-03	Val loss: 2.970e-03
Epoch: 50	Train loss: 1.934e-03	Val loss: 1.412e-03
Epoch: 51	Train loss: 1.937e-03	Val loss: 4.107e-03
Epoch: 52	Train loss: 2.117e-03	Val loss: 2.142e-03
Epoch: 53	Train loss: 1.847e-03	Val loss: 6.047e-03
Epoch: 54	Train loss: 1.763e-03	Val loss: 1.990e-03
Epoch: 55	Train loss: 1.921e-03	Val loss: 1.568e-03
Epoch: 56	Train loss: 1.957e-03	Val loss: 1.448e-03
Epoch: 57	Train loss: 1.779e-03	Val loss: 1.557e-03
Epoch: 58	Train loss: 1.798e-03	Val loss: 1.973e-03
Epoch: 59	Train loss: 1.915e-03	Val loss: 1.762e-03
Epoch: 60	Train loss: 1.703e-03	Val loss: 1.874e-03
Epoch: 61	Train loss: 1.677e-03	Val loss: 1.877e-03
Epoch: 62	Train loss: 1.647e-03	Val loss: 3.054e-03
Epoch: 63	Train loss: 1.867e-03	Val loss: 2.166e-03
Epoch: 64	Train loss: 1.556e-03	Val loss: 1.357e-03
Epoch: 65	Train loss: 1.806e-03	Val loss: 7.562e-03
Epoch: 66	Train loss: 1.668e-03	Val loss: 1.838e-03
Epoch: 67	Train loss: 1.797e-03	Val loss: 2.071e-03
Epoch: 68	Train loss: 1.612e-03	Val loss: 4.125e-03
Epoch: 69	Train loss: 1.540e-03	Val loss: 2.659e-03
Epoch: 70	Train loss: 1.669e-03	Val loss: 2.399e-03
Epoch: 71	Train loss: 1.720e-03	Val loss: 1.339e-03
Epoch: 72	Train loss: 1.476e-03	Val loss: 2.272e-03
Epoch: 73	Train loss: 1.454e-03	Val loss: 1.399e-03
Epoch: 74	Train loss: 1.536e-03	Val loss: 1.872e-03
Epoch: 75	Train loss: 1.450e-03	Val loss: 1.317e-03
Epoch: 76	Train loss: 1.583e-03	Val loss: 1.276e-03
Epoch: 77	Train loss: 1.434e-03	Val loss: 2.441e-03
Epoch: 78	Train loss: 1.461e-03	Val loss: 1.775e-03
Epoch: 79	Train loss: 1.519e-03	Val loss: 1.866e-03
Epoch: 80	Train loss: 1.465e-03	Val loss: 1.550e-03
Epoch: 81	Train loss: 1.404e-03	Val loss: 1.760e-03
Epoch: 82	Train loss: 1.488e-03	Val loss: 1.503e-03
Epoch: 83	Train loss: 1.366e-03	Val loss: 1.626e-03
Epoch: 84	Train loss: 1.443e-03	Val loss: 1.380e-03
Epoch: 85	Train loss: 1.279e-03	Val loss: 1.671e-03
Epoch: 86	Train loss: 1.372e-03	Val loss: 1.534e-03
Epoch: 87	Train loss: 1.374e-03	Val loss: 1.583e-03
Epoch: 88	Train loss: 1.347e-03	Val loss: 1.706e-03
Epoch: 89	Train loss: 1.382e-03	Val loss: 3.418e-03
Epoch: 90	Train loss: 1.315e-03	Val loss: 1.746e-03
Epoch: 91	Train loss: 1.353e-03	Val loss: 1.680e-03
Epoch: 92	Train loss: 1.327e-03	Val loss: 1.595e-03
Epoch: 93	Train loss: 1.340e-03	Val loss: 1.367e-03
Epoch: 94	Train loss: 1.473e-03	Val loss: 1.673e-03
Epoch: 95	Train loss: 1.214e-03	Val loss: 1.575e-03
Epoch: 96	Train loss: 1.325e-03	Val loss: 1.279e-03
Epoch: 97	Train loss: 1.305e-03	Val loss: 1.518e-03
Epoch: 98	Train loss: 1.333e-03	Val loss: 1.494e-03
Epoch: 99	Train loss: 1.128e-03	Val loss: 1.564e-03
Epoch: 100	Train loss: 1.377e-03	Val loss: 2.268e-03
Epoch: 101	Train loss: 1.316e-03	Val loss: 1.231e-03
Epoch: 102	Train loss: 1.269e-03	Val loss: 1.599e-03
