Mon Dec  2 00:40:58 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 565.57.01              Driver Version: 565.57.01      CUDA Version: 12.7     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:3A:00.0 Off |                    0 |
| N/A   29C    P0             41W /  300W |       1MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
Tesla V100-SXM2-32GB
Epoch: 1	Train loss: 3.199e-01	Val loss: 4.211e-02
Epoch: 2	Train loss: 3.606e-02	Val loss: 3.423e-02
Epoch: 3	Train loss: 2.050e-02	Val loss: 1.623e-02
Epoch: 4	Train loss: 1.778e-02	Val loss: 1.597e-02
Epoch: 5	Train loss: 1.398e-02	Val loss: 2.246e-02
Epoch: 6	Train loss: 1.281e-02	Val loss: 8.134e-03
Epoch: 7	Train loss: 1.229e-02	Val loss: 1.009e-02
Epoch: 8	Train loss: 1.030e-02	Val loss: 2.956e-02
Epoch: 9	Train loss: 9.923e-03	Val loss: 1.845e-02
Epoch: 10	Train loss: 9.294e-03	Val loss: 6.330e-03
Epoch: 11	Train loss: 8.191e-03	Val loss: 5.907e-03
Epoch: 12	Train loss: 7.827e-03	Val loss: 7.986e-03
Epoch: 13	Train loss: 7.211e-03	Val loss: 4.822e-03
Epoch: 14	Train loss: 6.536e-03	Val loss: 6.192e-03
Epoch: 15	Train loss: 5.951e-03	Val loss: 4.911e-03
Epoch: 16	Train loss: 5.790e-03	Val loss: 5.149e-03
Epoch: 17	Train loss: 5.596e-03	Val loss: 4.315e-03
Epoch: 18	Train loss: 5.445e-03	Val loss: 6.193e-03
Epoch: 19	Train loss: 5.053e-03	Val loss: 4.538e-03
Epoch: 20	Train loss: 4.666e-03	Val loss: 4.851e-03
Epoch: 21	Train loss: 4.719e-03	Val loss: 1.163e-02
Epoch: 22	Train loss: 4.514e-03	Val loss: 3.887e-03
Epoch: 23	Train loss: 4.652e-03	Val loss: 8.690e-03
Epoch: 24	Train loss: 4.013e-03	Val loss: 5.581e-03
Epoch: 25	Train loss: 3.804e-03	Val loss: 6.406e-03
Epoch: 26	Train loss: 3.898e-03	Val loss: 2.890e-03
Epoch: 27	Train loss: 3.839e-03	Val loss: 3.620e-03
Epoch: 28	Train loss: 3.508e-03	Val loss: 4.402e-03
Epoch: 29	Train loss: 3.502e-03	Val loss: 6.234e-03
Epoch: 30	Train loss: 3.091e-03	Val loss: 1.316e-02
Epoch: 31	Train loss: 3.379e-03	Val loss: 4.125e-03
Epoch: 32	Train loss: 3.161e-03	Val loss: 2.261e-03
Epoch: 33	Train loss: 3.112e-03	Val loss: 2.165e-03
Epoch: 34	Train loss: 2.852e-03	Val loss: 3.231e-03
Epoch: 35	Train loss: 2.934e-03	Val loss: 2.391e-03
Epoch: 36	Train loss: 2.713e-03	Val loss: 3.980e-03
Epoch: 37	Train loss: 2.778e-03	Val loss: 3.581e-03
Epoch: 38	Train loss: 2.604e-03	Val loss: 2.723e-03
Epoch: 39	Train loss: 2.709e-03	Val loss: 2.317e-03
Epoch: 40	Train loss: 2.739e-03	Val loss: 3.125e-03
Epoch: 41	Train loss: 2.370e-03	Val loss: 3.569e-03
Epoch: 42	Train loss: 2.577e-03	Val loss: 1.951e-03
Epoch: 43	Train loss: 2.375e-03	Val loss: 2.274e-03
Epoch: 44	Train loss: 2.457e-03	Val loss: 2.167e-03
Epoch: 45	Train loss: 2.490e-03	Val loss: 3.357e-03
